hidden_dim,dropout,lr,best_val_acc
64,0.3,0.001,0.8369159708651626
64,0.3,0.0007,0.8193284775270918
64,0.3,0.0005,0.8111565109255641
64,0.5,0.001,0.8163084029134837
64,0.5,0.0007,0.8175519630484989
64,0.5,0.0005,0.8088470421033931
64,0.7,0.001,0.8074258305205188
64,0.7,0.0007,0.8008527269497246
64,0.7,0.0005,0.8076034819683781
128,0.3,0.001,0.8061822703855036
128,0.3,0.0007,0.8052940131462072
128,0.3,0.0005,0.8049387102504886
128,0.5,0.001,0.8104459051341268
128,0.5,0.0007,0.8143542369870315
128,0.5,0.0005,0.8090246935512524
128,0.7,0.001,0.8139989340913129
128,0.7,0.0007,0.8086693906555339
128,0.7,0.0005,0.8106235565819861
256,0.3,0.001,0.8044057559069107
256,0.3,0.0007,0.8113341623734234
256,0.3,0.0005,0.8113341623734234
256,0.5,0.001,0.808136436311956
256,0.5,0.0007,0.8049387102504886
256,0.5,0.0005,0.8047610588026293
256,0.7,0.001,0.8132883282998756
256,0.7,0.0007,0.8072481790726594
256,0.7,0.0005,0.8054716645940665
