hidden_dim,dropout,lr,best_val_acc
64,0.3,0.001,0.5004441286196483
64,0.3,0.0007,0.5004441286196483
64,0.3,0.0005,0.5004441286196483
64,0.5,0.001,0.5004441286196483
64,0.5,0.0007,0.5004441286196483
64,0.5,0.0005,0.5004441286196483
64,0.7,0.001,0.5004441286196483
64,0.7,0.0007,0.5004441286196483
64,0.7,0.0005,0.5004441286196483
128,0.3,0.001,0.5004441286196483
128,0.3,0.0007,0.5004441286196483
128,0.3,0.0005,0.5004441286196483
128,0.5,0.001,0.5004441286196483
128,0.5,0.0007,0.5004441286196483
128,0.5,0.0005,0.49955587138035173
128,0.7,0.001,0.5004441286196483
128,0.7,0.0007,0.5004441286196483
128,0.7,0.0005,0.5004441286196483
