hidden_dim,dropout,lr,best_val_acc
64,0.3,0.001,0.8527269497246402
64,0.3,0.0007,0.8513057381417659
64,0.3,0.0005,0.8486409664238763
64,0.5,0.001,0.8511280866939066
64,0.5,0.0007,0.8521939953810623
64,0.5,0.0005,0.848463314976017
64,0.7,0.001,0.8468644519452834
64,0.7,0.0007,0.8450879374666903
64,0.7,0.0005,0.8466868004974241
128,0.3,0.001,0.843666725883816
128,0.3,0.0007,0.8418902114052229
128,0.3,0.0005,0.8434890744359567
128,0.5,0.001,0.8376265766565998
128,0.5,0.0007,0.8381595310001777
128,0.5,0.0005,0.8392254396873334
128,0.7,0.001,0.8411796056137858
128,0.7,0.0007,0.8406466512702079
128,0.7,0.0005,0.8392254396873334
256,0.3,0.001,0.8363830165215846
256,0.3,0.0007,0.8338958962515545
256,0.3,0.0005,0.8353171078344288
256,0.5,0.001,0.8333629419079766
256,0.5,0.0007,0.8331852904601172
256,0.5,0.0005,0.8337182448036952
256,0.7,0.001,0.836560667969444
256,0.7,0.0007,0.8335405933558359
256,0.7,0.0005,0.8346065020429917
